Timestamp,Detected_Object,Severity,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,Source
2026-02-22 18:05:08.001110,smoke,Medium,0.822,379,678,478,846,Video
2026-02-22 18:05:08.007766,fire,Low,0.564,285,752,366,843,Video
2026-02-22 18:05:08.434054,smoke,Medium,0.86,26,13,454,635,Video
2026-02-22 18:05:08.440224,smoke,Low,0.788,378,678,478,847,Video
2026-02-22 18:05:08.886460,smoke,Medium,0.865,21,16,453,639,Video
2026-02-22 18:05:08.893431,smoke,Low,0.702,383,678,478,845,Video
2026-02-22 18:05:08.899011,fire,Low,0.584,295,762,355,843,Video
2026-02-22 18:05:09.323727,smoke,Medium,0.886,21,17,454,615,Video
2026-02-22 18:05:09.328941,smoke,Low,0.614,373,663,478,847,Video
2026-02-22 18:05:09.333374,fire,Low,0.503,172,443,245,613,Video
2026-02-22 18:05:09.757708,smoke,Medium,0.863,22,15,454,630,Video
2026-02-22 18:05:09.763274,fire,Low,0.541,170,484,248,618,Video
2026-02-22 18:05:10.164315,smoke,Medium,0.857,25,15,454,633,Video
2026-02-22 18:05:10.605907,smoke,Medium,0.871,28,15,455,641,Video
2026-02-22 18:05:10.612894,fire,Low,0.639,172,470,260,628,Video
2026-02-22 18:05:10.622701,smoke,Low,0.606,328,672,478,847,Video
2026-02-22 18:05:10.631604,fire,Low,0.512,253,684,304,754,Video
2026-02-22 18:05:11.629219,smoke,Medium,0.879,24,15,455,638,Video
2026-02-22 18:05:11.636809,smoke,Low,0.728,329,673,477,846,Video
2026-02-22 18:05:11.642118,fire,Low,0.64,192,481,264,628,Video
2026-02-22 18:05:12.109379,smoke,Medium,0.879,26,15,455,629,Video
2026-02-22 18:05:12.113769,smoke,Low,0.724,350,642,477,847,Video
2026-02-22 18:05:12.116910,fire,Low,0.713,193,475,270,628,Video
2026-02-22 18:05:12.540672,smoke,Medium,0.873,25,15,455,637,Video
2026-02-22 18:05:12.544796,fire,Low,0.675,212,527,269,638,Video
2026-02-22 18:05:12.552552,fire,Low,0.635,266,694,322,772,Video
2026-02-22 18:05:12.558078,smoke,Low,0.602,345,661,477,846,Video
2026-02-22 18:05:13.073213,smoke,Medium,0.849,22,14,455,639,Video
2026-02-22 18:05:13.077296,smoke,Low,0.721,353,660,477,847,Video
